text,type
angelic gardevoir say go take ap english ap u history high school hat history class memorize fact love english class teacher crazy awesome ton discussion one one college english class actually read story discus class seriously one person discus story everyone else mostly dead silent small class still take course call music listen know expect end like class discus cultural impact rock n roll crapload stuff memorize though fun make say rather talk thing write paper guess ne right laugh click expand realy wish educational system base discussion people go college right dont communicational skill highschooler yes hate memorize date esoteric name think would rather bash head desk,N
katya say read actually think tragedy take compliment,N
someone laugh nowhere joke get tell four hour earlier,N
thread amuse dangerous although also edify certain case instance observe sjs np prone tragicomically lose head certain way anecdote search something carry along search glass wear possible correlation si ne,N
pristine golden horseshoe shove way deep,N
take myers briggs test ask wish people imaginative realistic annoy think wish people realistic imaginative enough force pick imaginative answer even though really correct,N
throw something conversation think clearly apart conversation one understand come relevant know lyric song heart realize actually say month year haha later form impression song without know detail throw sentence word expect everyone get totality try say one,N
likeacat say surface serve table problem put glass water floor bowl soup top hardbound book think perceiving trait make table intuitive,N
make connection come answer feel right get frustrate explain,N
forsakenme say damn baby sound lot fun remember laugh probably trip fell onto grill something,N
bradshaw say tell know everyone else universe one delude year exactly feel also come away conversation kind information remember information get person say know,N
go eat dinner family look like see three year suddenly dawn eaten leave room sixteen hour engross mundane thing eating bath never cross mind,N
surprise friend concern notice something right front ten second ago people think stone think talk something relate whatever discus,N
sock match give shit get important stuff worry sock life amount match sock fuck gon na let sock tell live life,N
dogshavesillynames say,N
people always ask okay tick response think annoy interrupt train thought still happen people know since baby,N
intuitive intuitive person luckily intuition normally right wise enough know rely intuition alone dangerous intuition seem really tend ignore look fact instead little quiz take blog thing website give link less post sorry link way,N
know tie shoe teach tie proper knot difficult,N
know intuitive decide kill time wait housemate already late probably get lost get home decide pop cd entertain rinse dish start really get work follow music suddenly know home middle fourth track turn right think minute later,N
sino say use pretend character bethesda game give quest yes except use factor,N
cerebro say walk life half pay attention reality bore feel constantly disconnect body stay mind soar end earth life sort feel like dream view attachment go something simple computer end spending hour look mbti information randomness even remember turn computer,N
people think always bullshit think aloud,N
noice say start new topic middle sentence forgetting hadnt mention beginning adhd happen almost everyday whenever start conversation boyfriend make matter worse even though point nicest way possible still get frustrated wish could get even though obviously illogical unreasonable expectation,N
angelic gardevoir say epic laughing know intuitive people definition bizarre definition awesome true story someone tell know guy highlight note invisible ink turn black light study distract unimportant part think bizarre wonder anyone could think bizarre seriously sound ingenious crazy click expand need invisible ink hate mark book word get way next time read write notebook never read notebook b even would read keep book much work go find notebook brilliant idea,N
wildeyes say feel word come mouth try explain idea even begin justice head ni harsh mistress indeed little maso know intuitive experience sensplaining dreadfully boring act endure torture sensor explain something extremely simple truly intricate fashion know try say still listen whole ordeal even last short minute still enough si user particularly fond practice experience,N
first thing dad istj ask many people class respond estimate would last aspect would think class parent think problem hearing child,N
feel worthless sex make love sad,N
stand faeces right education excremental shit future,N
find another way solve math problem teacher scold read ahead book learn next chapter read ahead think personally learn imply wanted want class get thought lesson since occur,N
stand upon precipice madness leap yawn maw spiral abyss discover wing shine light reason fog reality discover realm dream see reflection face god declare creator hope lose realize never matter hope matter time lose forest decay knowledge branch insight grope upwards towards sky full doubt poetry thousand feld steel blade bear protect essence humanity music orchestra space time instrument causality player get end rabbit hole find instead wonderland door soul welcome amongst others like intuitive toymakers shaper legend entirely improvisational hope enjoy,N
realize end shower sock entire time stop think empower think existentialism,N
funcoolname say sensor reach end story tell think true suppose feel get end abstract theory though,N
try tell someone idea thought must first tell many background story connection circle back around finally make main point others grasp point many ppl black white thinking must explain point sure everyone think black white get lose translation many time well esp interrupt get distract begin new point never really sure youre explain right coherently abstract think must put linear form example ask care image care ppl think image think physical image think mental image answer yes care image ppl assume talk way look im talk stuff like blame something stand ppl believe something true esp character nothing physical give example metaphor everything minute get slam bc mistook say know n feel like explain everything,N
wow kiwigrl say sensor share enthusiasm theory idea kind nod smile keep happy point assume explain clearly enough try clarify fantastic discovery often fiance think due ti feel explain hard well enough get hmmhmm,N
ginnyisdacoolest say remember something someone say earlier actually remember say trace back train thought set actually typical instance think stuff okay think trace think train back oh yeah tongue,N
excite idea join come space force lose interest friend bring reality would sit cramped capsule long period time,N
manwithouthats say know quick response turn lost hour sleep something extent copy file steal material album sure maybe entitle listen right listen music free person make right earn living make artist artist trade must take day job make music side stifle creativity record company exist exist poor guitar play song writer nebraska junkie saxophone virtuoso new york mean record distribute art get contract producer give thousand dollar bunch engineer work ass get degree get job hire manage expensive equipment require make album get bunch people put bread table family manufacturing packaging guy truck get early spend day drive factory store record store owner nice ambitious guy work way shit dream record store finally probably guy help around store million store around country around world thousand artist producer engineer truck driver million arrogant bastard decide creativity stifiling asshole deserve pay get piratebay mediafire whatever record store close owner get job mcdonalds wife leave get kid drink death region forecloses house engineer vocational skill outdated head wal mart ultimately ten thousand hard work people put work many lucky spend rest life drive thru window give two shit creativity stifling bastard right obviously draw extreme fact action consequence although easier assume record company asshole truth company make thousand individual pay mortgage kid college tuition people like u decide take product free rather pay hour day month spend work call steal pirating voluntary file share beyond happen go business assume happens suddenly say okay asshole go pay music would keep download free even artist producer engineer distributor artist afford record generate revenue download music actually check see company make release independently assume asshole deserve money well shit p say creativity stifling asshole allow people tool make record music make commercial would flop someone else would commercialize music compete stifle creativity make artist appeal popular taste would go business music make first place producer blame consumer system matter go business anyway click expand would applicable mainstream music move towards greater record company involvement movement away record company mainstream music become independent music independent music far likely freely distribute yes think everyone free access art internet age make argument irrelevant tool necessary create music hold monopoly record company art everyone understand people claim ownership art art create enjoyment others,N
see hear something funny spend next day spin joke thought idea thing randomly blurt whoever even get quickly cease find funny spend entire evening friend come way include pancake title musical theatre number hilarious,N
sometimes creep realize manipulate situation successfully order create pleasant environment people around scar think people kind ability best intention others great power come great responsibility,N
know intuitive one ever understand inner world could see would probably kill,N
start commute walk work day dream end destination without remember step take wait red light etc vanilla sky moment,N
scarletthayden say hate worse come back event si worse function people ask happen genuinely inability answer shrug say something completely pointless like know get weird look like know someone want specific take hour even day processing able give even struggle likely explain process behind event take place actual event think see thing whole type mental picture quite difficult break express word least ni dom way click expand lol home almost everyone sensor always answer straight without underlie meaning word always want say yes nothing nothing less want concrete answer,N
treat intuitive part notice topic intuitives make notice kind opposition difference sensor intuitives mean say maybe like life love life sensor intuition part add thinking feeling underline every type intuition make crazy part like verb love verb like realize crazy part kind interpretation know intuitive love life stupid like better way hope edit maybe many kind love definitivelly bad news sorry short sentence seem much exclusive want relative kind intuition fact love employ exclusive intuition cheer,N
empurple say oh gosh jerk think facetious please forgive look back see humor facetious,N
sexual identity attack helicopter bourgeoisie swine primitive religious recognize,N
jaguarpap say sensor think stupid think stupid,N
copy paste first page damn type someone say weird even spend several moment walk around look something carry hand see something every day process day month year later spend hour talk theory something never think normal would bore tear attract people could spend lifetime learn head want crawl men mind stand edge marvel wonder world within even moment fall love intellectual want cuddle mind train thought fork try follow path end think pesky limitation human brain instead spend ten minute backtrack mentally still want think interesting thing remember surprise friend concern notice something right front ten second ago someone ask decide pick one thing explain felt right know way go see something come mile away brilliant answer pop head people astound ingenuity ask come conclusion tell really know want shoot people try make esfx woman even explain idea esfj esfp let alone take interest probably apply multiple type say wierd thing see people react argument never really consider possibility might insane crack think something complely irrelevant people around give odd expression think write one sentence post couple paragraph later force stop rambling,N
infjmom say scratcher say one find image name dish scratcher guess call wrong year guess dish really get itchy crazy,N
waste lunchtime think personality type food would,N
spend hour wikipedia look thing interested keep find related item suddenly curious think true nt time,N
hate istjs,N
forsakenme say make intj cry laugh holy shit proud enjoy conversation much actually smile believe,N
heropontommy say know could stick bad boy theory good idea,N
could also add prefer imagination porn video,N
honeytrap say someone start talk something go go autopilot physically look like listen everything say mentally elsewhere make sudden connection idea fact striking revelation hit nowhere perform mundane task brush teeth result dramatically look mirror almost drop toothbrush click expand story life thanks,N
vertigo say make connection none connection always make take right mind notice,N
soso say guess person go say half sentence piece together recent event say happen time fall love mystery science,N
ne fi crawl hole let te si take rest day sad,N
better stuff pay attention surroundings,N
know intuitive teacher grade school think add add understood concept theory first time fantasy world much interesting go thing tenth time,N
say yes,N
alamour say ever felt like shrink back inside world look like body giant machine maneuver control panel locate behind eye feel like sometimes maybe might thing know yes sometimes also think building mother ship mind try draw floor plan control panel inner chamber surround foot thick steel wall locked door come middle layer surround psychological defense mechanism approximately three people allow lobby receptionist deal people try talk also room vault knowledge memory keep pool unconscious thought plus game room get bore yes way much time hand day,N
sinshred say use crazy without psychedelic stimulant big difference high normal psychedelics way weed literally zero effect wonder intuitive thing thing,N
astralvagabond say fact user post later realise istj would really come surprise one intuitive ish post ever read inxpish particular anecdote card game particularly remarkable love related note move oddly enough think ever full walked door wall many others report least far remember although get lose head quite bit click expand cringe every time someone thanks post post know nothing cognitive function far know much say ne ni understanding cognitive function still limit mean correct wrong however give cognitive function identify istj best guess really pursue psychological type much since discover enneagram though find far useful,N
know intuitive take bus mistake one totally different name even read take nap get third reaction fuck,N
know ni dominant relate absolutely everything blog post nellie nikolov intuition analysis,N
pick possibility future thin air someone probably sensor friend tell unrealistic goal actually make feel quite bit better know possible could happen wait achieve prove wrong,N
lokkye say get annoy shallowness conversation sensor get annoy say something figurative sensor take literally thus get confused,N
daniluni say yes way impulsive intuitive fella oh neither first language sound funny sometimes troublesome anyway yeah also make pun get miss one,N
azwan say foresee reply make thread think counter get rid troll thread yep yep yep yep yep even though say two thing,N
vinnieb say afterwards quite remember task entirely remember dozen thought go head happy something experience often anyways time walk traffic barely remember come today mean know remember get train rest noise,N
likely interested understand get topic,N
scoobyscoob say say sens mislead ignore eyeroll smiley help tongue gaslighting gaslighting,N
constantly concern summary topic cant bother investigate minor detail,N
decide visit know sensor discussion see differ one leave almost instantly get feed long poster take get point frustrating,N
end average one meal per day notice hungry almost go library go take book realize leave glass somewhere one shelf go find find leave wallet counter think touch must create cloak device rely far much knowledge fall together mind,N
run thing time struggle aware present reality,N
people ask listen moment realise listening anything music head nod head wake morning song head heard year anywhere,N
angelic gardevoir say might ni thing concentrate much noise especially people talk depend try sometimes extra distraction help wander deeper thought time distract example listen music little lyric write like lyric work math logic however people talk almost always distraction difficult time focus find hearing wander especially interested listen,N
legna say copy paste first page damn type someone say weird even spend several moment walk around look something carry hand see something every day process day month year later spend hour talk theory something never think normal would bore tear attract people could spend lifetime learn head want crawl men mind stand edge marvel wonder world within even moment fall love intellectual want cuddle mind train thought fork try follow path end think pesky limitation human brain instead spend ten minute backtrack mentally still want think interesting thing remember surprise friend concern notice something right front ten second ago someone ask decide pick one thing explain felt right know way go see something come mile away brilliant answer pop head people astound ingenuity ask come conclusion tell really know want shoot people try make esfx woman even explain idea esfj esfp let alone take interest probably apply multiple type say wierd thing see people react argument never really consider possibility might insane crack think something complely irrelevant people around give odd expression think write one sentence post couple paragraph later force stop ramble click expand quote instead copy pasting thank farm way decline thank,N
angelic gardevoir say anyway actually contribute something know intuitive post thread except revy hand tongue lol crazy angelic gardevoir say maybe well developed ni mellow wish save buttload trouble early sure lmfo suggestion check last cognitive function test extraverted intuit ne average use intuit ni unused lowest overall well suppose inferior ni though believe exist te kick eventually lol hope cry hmm maybe metaphor work right know intuitive uh nevermind way early think one sorry check back later tongue,N
imsorryofficer say twitter nightmare use try stay character accidentally dissertation yeah give twitter summarize everything go mind even facebook status seem enough hehehe,N
neon slinky say way manage recall simple fact think something totally unrelated work way backwards forward another plane whatever jog memory ie thought science test well last time note subway min lapse get refill soda spill corner page right scribble formula photosynthesis oh duh uranium click expand yes description really good always get throw interrupt co break train thought completely interrupt interrupt really impolite interrupt noel coward,N
seem remember want type thread space happen currently,N
mid conversation listening try make mental note thing say want read wikipedia get computer idea anymore sleep remember look phone alarm sit next fascinate really sleep concept take brain many different direction,N
know thread end argument still post comment,N
mind swirl say language create pretty funny pretty entertaining sims sing karaoke level creativity recall child sims sound extra bad laugh true know sims game extension pack glad take life,N
scarygirl say think everything complex people always miss something feel like universal plot connection everything ne ni always think lose jnugle concept feel nice aha line like,N
stand people lack creativity constantly try explain soul help think thing person choose similar basic attribute cut open climb take life base basic relation thing already exist,N
cottoncandy say lol hard decide estp entj decide estp even though spend deal time daydream reading translate thing listen music fun sometimes always enough involve physical sense time sing try figure musical instrument act sometimes confuse nf friend pay attention thing like air feel around certain situation people physical stance tend daydreamy take everything around whether involve watch background thing like air feel calm playful charge depend room tend cover base pick thing hectic disorganize easy overlook detail pay much attention one thing hard decide j p also reason like p tend random conversation thing soon wrap one thing study move onto something else time get rid clutter pile thing make area seem refreshing start next thing especially know brain fry get socialize yet feel brain turn mush something point grow sense humor thing like imbecilic character thing idea get good start like take stuff screw everything backfire overlook detail fell love power click expand lol lack grammar use scar inspire post ramble xd know thread,N
constantly find think able push limit reality prefer understand rather memorize,N
astound word relate xd,N
know intuitive ability comprehend insight philosophy theory elaborate plan also generate may also intuitive mind rarely completely necessary list practical matter get bore school due lack depth lecture seem feel thing deeply around people occasionally seem lose discus interest hobby probably intuitive,N
pippi say quit virtue signal nazi excuse report make personal attack also call shill rich come non american shilling presidential candidate hypocrite probably project also russian stooge shilling accusation,N
sarbot say look mirror dont associate see,N
open fridge start dictate supermarket list ask need milk honey second silence go say something like oh way btw even say anything put child learn chinese older brain make connection milk cow farm pharma pharmaceutic hahha english language funny oh yeah meet woman brunch last week work pharma company nice asian guess korea sure like asian culture like dragon humm chinese food would great china grow market wish speak chinese old perhaps stimulate child let see father say,N
go walk see bird wonder male bird color female tone walk tree,N
lokkye say get annoy shallowness conversation sensor talk wrong sensor wink,N
pikabot say zoo see red panda remember read somewhere panda spend basically day eat get enough nutrition start think strange animal include many human really purpose life yet make many effort keep living drive desire reproduce propagate specie beautiful click expand kinda go along line thought lol know n stare one thing see million thing,N
schizoid say take mbti seriously always skeptical everything read know person invent mbti human hence error could happen time mean entire mbti system could flaw contrary sensing type dogmatic typology tend go book believe everything read mbti intuitive type prone alternative view tend question everything read include mbti system click expand christian question validity holy bible human actually write interpreted decide book divinely inspire enough include way much room human error however usefulness prove one would tell jesus die love without book,N
hamstersamuri say way successful find want listen go timeframe acquire something oh yes feel spring right thats cheery maybe try winter instead also jps forsakenme make laugh much almost cry guy ashamed make intj laugh cry edit please continue click expand xctly like,N
watch new year firework wonder environmental damage cause globally since people everywhere every year animal think meanwhile sensor like amaze see someone daydream wonder also intuitive think stuff like color hair dress like vampire goth much cooler wear typical stuff like khaki pant generic blue shirt tiny horse animal depict brand redirect conversation gossip universe conversation rare really know handle stranger make joke change subject besides already predict possible response,N
thewildone say see connection illegally download music drug war mexico wink share ne curious beast,N
common reason get argument parent realistic second common reason get argument parent want room messy find stuff want room clean get dirty clothes even offer put outside room rewind video music start think something compleatly unrelated video stay really late thinking learn cool stuff fun sleep whenever find video game book movie comic anime manga ect really weird unpredictible strange plot universe get really excite create really weird theory actual series forget random word pay attention remember nothing also draw thinking really awesome story write try remember name one song ace everything suddenly feel terrify dad say bore insult,N
moran kat say read sensor thread still stick witch one relate know letter ixfp click help sorry wring place relate intuitives sensor,N
go mother people everyone tell forget put blusher day finally turn around say say anything honestly notice anything weak sensing,N
pesky universal plot trippy van say english language piss poor medium communication sensor think bit stupid say thing like holy pressure plat batman figure traffic light work always go figure something often unable explain provide example idea joke shuttlecock tour bus flea train thought fork try follow path end think pesky limitation human brain instead spend ten minute backtrack mentally still want think interesting thing remember click expand true,N
know n care route efficient one take first second freeway exit could best go measure efficiency include mileage wear tear time driver exertion want find perfect system measure much really focus even clock time mileage one direction disappoint nobody else work think fun wonder thing,N
mind someone spoil movie tell surprise end co type movie often figure early anyway plot interesting thing movie anyway,N
wonderwall say see person facial expression instinctively know feel feel someone criticize make fun remember everything felt instantly engrave memory instinctively know person lie already know person go say without actually say anything concentrate study mind begin drift daydream land click expand know exact feeling able know somebody feel almost little freaky sometimes probably really would kind funny happen really person feel like become clone feel like body time see facial expression feel even pick think time often play whole day head analyse interaction able pick thing realize kinda cool happen sometimes cause like wow make great detective lol person live ahole walk around like nazi find easier deal become clone personality sometimes even overpower almost like push weaker position wonder people like u good shaman type honestly know absorb much still survive true chameleon,N
create time machine head talk younger self say figure something maybe xd,N
girlfriend come home work ask day say mean mom catch quietly sit room watch would seem like small bird fly around ceiling,N
sensor partner say plan worry much haha,N
feel like reality really huge cluster way see million idea pack every point even see comprehend always hope conversation go somewhere expect think thing make sense might make sense another reality,N
europe fully load backpack month load group want walk around minute hour simply find cheapest food nothing wrong save money limit feel like waste time could see sight,N
someone ask high,N
random person make happy sensor watch movie party friend macdonalds kind stuff intuitive happy mean like fulfil laughing uhh imply external factor make happy cause happy without something necessarily make happy evil happy good kind happy blah blah,N
jippa jonken say intuitives find bar find imagine placid forest lake lit mysteriously purple star populate levitate unicorn well little rainbow fairy intuitive place would intuitively loathe place problem perhaps intuitives intuitively magical thinker others intuitively skeptic less glitter moss maybe night bloom flower normal look star set hang,N
know intuitive instantly get big picture say start lose braincell sensor room want clarity detail,N
people say one many time,N
oh think writer people try publish book something appreciate know n talk smash lamp editor beta point specific sentence tell exactly rewrite circumstance look broad overview tell generally working maybe suggest simple remedy two anything beyond unnecessary annoying make want bite face confront beta tell ignore advice late idea already corrupt mind future correction go influence half assed amendment make sentence guess could copy write see better version inferior thing thank humble exalt one really want help believe take direction apply concept least create similar sentence scratch rewrite rearrange shit sorry realize rant seem appropriate thread strike n pet peeve hopefully waste anyone time,N
einstein say intuitive figureskater say yes roud need go flow dry,N
everyone think weird,N
could think spot everything end lose end lose something anyway accidentally walk thing pay attention walk start automatically drive work even work day auto pilot system automatically take mentally check seriously forget meal,N
example mind fill blank little easily constantly skip word write even sometimes read loud even reread write time still pas mistake frustrating,N
say suddenly realize time travel win possible record people visit past ever thought cover one track know time traveler cover try throw u track like know intuitive suspect situation like legitimate possibility wink,N
see everyone else see instead leave take input place within framework fi ti conceptualize induction ne surprise never post thread,N
hear invite half dozen different event activites weekend realize go get far much yes sink full dish clothes pile bed floor nothing find shed garage thing need need need stay home write idea,N
know intuitive following happens read manual shiny new voice recorder get use college think hey ever hold something class voice recorder happen could help police catch guy could hero read section edit file crack idea could use record sparta remix rick roll randomly insert one professor lecture,N
intuitive million mile stare esfp tell,N
know intuitive month realize thread information bar,N
lotan say lock car door walk away immediately walk back make sure lock literally every time leave car,N
train thought fork fork end feeling overwhelm immensity knowledge discover,N
get lose movie theatre use bathroom way theatre bathroom think intensely could happen next movie remember walk also get back theatre one catch miss figure would happen,N
possibri say sometimes think something see something mind necessarily want vision still accurate consider possibility thought saw way maybe happen dunno like entertain idea envision thing actually manifest sometimes already go happen like time crazy also wonder kind ability really come hyper aware observation like show psych lightning fast fast know deductive reason able see thing end happen click expand yes could true also happy happen try understand much,N
think part beauty sent iphone use tapatalk,N
intjejc say map world upside office drive coworkers nut want fix realize completely acceptable way view world awesome,N
ytisibrsk say mind someone spoil movie tell surprise end co type movie often figure early anyway plot interesting thing movie anyway stand like go movie know nothing get pure reaction,N
frustration sensor willing expand horizon thing fire fire thing ponder inept thing ept also overwhelmed underwhelmed whelm hey would cashier assassin well first figure weapon use ponder list weapon could fit till also give sword vibe sword shop cart may provide adequate cover cashier star repeat would like bag fifth time oh many way screw job interview like happen cause go wrong sooner later bankrupt city state monaco constant existential crisis everything metaphor moldy bread metaphor metaphor,N
walk room take one look iq promptly walk back,N
like loud raf,N
ctr say see pick lunch go meal provide calorie money least regret get wrong hilarious good thing people see though process completely analyze complicate selection year old could totally relate,N
two say forget notice people car look funny start speak gesture conversation one loud one take story student lounge friend think candy bar vending machine look like could fall someone pay get candy shake machine get become obvious suspect someone want next candy bar pay twice people think nut put money machine get rip obvious say one would buy see go work know full well would one see end rip one museum someone hear say pretty frame think frame oh yeah,N
ask question like decide word mean sent iphone use tapatalk free,N
bump thing place perfectly avoidable something go head hard time living present though keep tell live past future lot live present read much undertone thing people motif even think might sensitive however seem turn often make seemingly illogical connection two completely unrelated thing maybe ne n general much easier time see pattern falter specific detail conclude thing know exactly get conclusion could heavy extrapolate one piece information much easier see pattern broad connection start detail come towards conclusion find piece info support exist conclusion could influence fi well absent mind often forget thing sometimes important thing brain either past future present big part many people life always find weird immature even think try show yes even use insight help frustrate people get minute detail already think conclusion draw say someone else lot trouble recall describe precise physical daily detail super good memory come nerdy topic interested make sad time think actually want many thing normal people want alien specie nobody figure however feel though hard see immerse world ruminate much read thing much always ask always feel always imagine thing could better different body experience anything like occasion mind like almost blank imagine moment exist keenly extremely fascinate mind people even type go head see thing world life compare even exact thing friend type infp think really clearly use fe lot might even n since stop look mbti typology really alternative spirituality new age stuff lot get might ne v ni difference rather v n difference notice two big difference like discus idea come idea sake almost always come hard time relate idea unless reference back specific person like author watch lot video podcasts read book rarely prefer thinking share like basically say thing x author writer get believe much static identity strongly hold set belief though strictly n v however often hesitate share many insight go go get know everything like see thing term pattern general concept trust individual experience lot see stereotyping quick conclude whereas understand world broader pattern reverse engineer conclusion go big small trust process tell one biggest reason leave typology feel uncomfortable idea lump people group category like typical high schooler sociological psychological sense fell girl pretty significant mental health issue clearly reciprocate feeling busy time catch stuff love indeed blind fell wrong people number time even know deep go work really want doubt really want see happy keep try read girl despite never meet however offend anyone dealt mental health issue well deep doubt first tell girl situation already think step ahead time still keep encourage go ask consider whether able withstand emotional toll living someone mental illness marry girl know like live people kind issue thing like refuse get help enough keep marriage happy kid think hereditary factor whatever condition might would want expose future kid risk potential pitfall already go mind concern support keep try pursue girl eventually never work think would happy end think isfx,N
work extra backstage person theatrical production little one particular show people talk bad luck start sort near conversation head well superstitious nonsense something show go slip time reason negativity um show go pretty awesome say sh unlike show indeed couple line drop end get positive feedback show previous one enough certain energy one probably happen give even slightest hint suspicion sure people sort moment like take intuitive make catastrophe,N
hate dot already connect obvious ftl dry,N
linnifae say clarification confuse people around even use hand gesture movement illustrate literally haha say hand gesture make sense serve confuse people,N
know intuitive ask math homework show work say math run calculator result,N
jointhecraziness say know intuitive ask give specific example something happen fail remember general overall pattern happen specific detail contradict multiple time conversation people never sure answer anything everything turn philosophical debate annoy fok sensor xd trip walk stair expert play devil advocate brain place ramble thing unrelated original topic think thing actually theory hypothetical story make mind explain happen around click expand thing much first last statement rest definitely use trip stair time high school xd,N
emancipation say seem gregg advance intuitive humor intelligent stick isfj forum feeble sensor know probably mean joke still come incredibly condescend wow,N
acala say mind wonder dull area know recently think something interesting still feel trace pleasure interest thinking actively retrace mental step find interesting line thought often happen wake dream also dream vivid colour n bias,N
lotan say start laugh nowhere something someone else say remind joke hear last year start laugh nowhere something present make think something totally whackadoodledoo unrelated,N
deeter say begin change look like adult weight lose feel like man mirror,N
napoleptic say write middle word skip one letter write next leave space letter would come next come back write previous one skip forward though nothing happen instance write word crazy progression might look like c cr cr z craz crazy realize skip leave space start write realize write z prematurely slow make sense love hear anyone else like learn intuitive thing well crazy crazy click expand word thing pick random piece get whole thing example say come idea review start write second paragraph come new idea jump second another idea go first go back nd paragraph elaborate start introduction finish third last attempt write conclusion realize want write also weird thing email always read newest email get first skip rest go back oldest unread mail go always unread mail even make sense ever come show book anything always force start beginning watch order anime annoy beginning often boring part lot series start shitty get much better,N
expand notion word feeling happy,N
clarity dream full ah h someone ask point way know break confess exactly dream feel bit psychic get spooky,N
lothweneriniel say one ever comment think much people get use quickly really think hour go seriously space least people bus get creep though come start act nervous realize star straight one clearest memory high school guy class ask star must n say understand,N
guy contemplate difficult thing guess intuitives,N
possibri say oh man perfect especially first one actually geology class sit exactly happen could tell teacher really like question ask could see pattern different topic ask question use information already come new one prob combo help haha awesome nt handy learn stuff get ta say yay nt ness,N
know intuitive rock lol,N
think get good one know intuiter spot bad toupee,N
people give strange look point obvious everyone apparently obvious also overjoy someone point say obvious fact instance often result instant friendship,N
finally realize someone mean say something understand initially likely day week conversation ni,N
scoobyscoob say error one transition point wrong state skill know think teachable anything brain particular kind thing automagically somehow oddity accomplishment mess thing spent day look bug program somebody come office look shoulder say test set turn around backwards know fault right look line code hundred time see somebody point good problem keep linear task order take concentrate effort one reason get start mbti stuff begin people would say smart enough hard thing simple thing answer still really end day accept human really strange creature sometimes know inexplicable reason,N
heartturnedtoporcelain say use hand gesture movement illustrate literally haha say hand gesture make sense serve confuse people time husband find wave hand horizontally back forth several time mean quesadilla roud,N
greenback say figure plot way nd segment hour script television show necessarily intuitive thing istj dad pretty good tend figure thing instead read emotion face voice,N
interest day year,N
suck multiple choice question could think situation answer could correct,N
moment become paranoid something every possible impossible thing could kill become possible freely announces head see traffic light yeah wire look bit loose step see mexican bulge pocket gun see crack pavement volcano wait erupt,N
come analogy advanced people laugh feel bad many disaster could prevent gifted word,N
think say wake sleep figure solution bugging problem actually trick istj dad use say always habit sleep various problem wake morning solution,N
many strange theory often eventually confirm others,N
immediately know something person need little time find exactly sometimes wrong though,N
normally know someone next point say,N
start new topic middle sentence forgetting hadnt mention beginning adhd,N
need distraction pay attention class get hyper pensive brain wink,N
nerdycool evah say live house year realize dishwasher nine year figure,N
ibage say convince head fit something figure come like think would maybe time kid recently brother every kid sensor might desire exploration typical kid join either poorly developed sense spatial orientation something need actually go thing measure etc make sense word many kid,N
know nerdy intuitive entire deep intellectual conversation another nerdy intuitive solely base quote see favorite movie mainly scifi actually two conversation one actual word quote contains urghghghg stupid word explain deeper meaning emotion carry quote movie,N
optimist see donut pessimist see hole intuitive look hole realize donut even,N
emwuzx say imagine fun would though could find way exploit reality kind like lucid dream could lead many potential lols guess one key entj intj difference well tend immediately come head mid conversation ask come give entirely logical explanation go tangent head well cow loosely relate milkshake earlier guy milkshake bar huge mustache contemplate mustache wonder many president history mustache explanation continue like inevitably go another tangent click expand see ze frank video ask think something ordinary become really weird wish remember name video basically think something ordinary like tree think aspect tree example tree come grow anything become weird find video link,N
acala say sometimes find dream enjoy make sense light wake state fantasy make enjoyable,N
know intuitive observe analyze thing even people almost constantly,N
ask someone question forget listen think something else ask question two minute later,N
predict ending significant event book movie tv show walk around block remember cloud sky leave tree go matter people consistently accuse mind instead reality think reality boring rather bear distant past future,N
hold beer someone ask time turn wrist check watch find spill beer even wear watch,N
sensor husband organize post note date alphabet combination angry long time,N
jingo say urge use metaphor simile explain everything think write one sentence post couple paragraph later force stop ramble mind make connection laugh try explain someone else shortly find really know relevant whatever topic conversation click expand life three sentence,N
thread cancer time walk thing bang table trip time sensor even little think thought relatively deep concept sensor line think come naturally still gosh,N
empurple say sensor dream maybe would wake look horror think really funny infj cross laugh lol oh gosh look real bad especially since first awesome friend penchant infj oh gosh,N
lullaby hm type enfp yet rarely find walk stuff maybe aware surroundings,N
pyroscope say kinda think honest preetty xd one saw two firework really cool haha laugh yeah saw lantern firework suddenly find think night another proof trap keep abide tradition deplete resource sometimes even forget also wonder money spend could better use feed people fix town city something else happy new year really new long stretch life always agree measurement time manmade entirely relative celebrate seem artificial,N
