,text,type
2616,feel like pretend super outgo around others take eat go shop museum park marvelous time deal stare like go worst restaurant especially since young woman complain lonely anything two hour talk encroach alone time thought socialize much pleasing actual socializing constantly look phone check time people care less time alone thought one social event take time make irritable day thought obligation socialize give relief frequently wish explore nature one watch go hike sight someone else ruin moment wish could go museum hour art eavesdrop conversation public remain unnoticed one favorite hobby,I
2617,pneumoceptor say represent online forum true real life global population member,I
2618,fear go public hometown want run people highschool study become really like wimp avoid public place tend phase middle conversation stare distance much amusement dismay one talk people movie theatre remind cattle chewing popcorn way herd theatre,I
2619,try sit window train already crowd people sit compartment feel offend people forget close door room place currently spend time completely understand roommate want get room leave without complain,I
2620,wait extra time bathroom person next stall leave pretty random,I
2621,know youre e grasp need physical mental emotional space sometimes walk away think heartless answer phone purpose even care look call feel like talk feel like get interrupt talk easily big group discussion get excite relieve get snow house day play scenario conversation head actually happen,I
2622,friend invite next week see age say sure havent go age spend every day think way get finally day find perfect excuse happy,I
2623,sit shake give speech class could stage fright,I
2624,know two hour meeting work mean need go home sleep hour feel normal,I
2625,know spend time interact people real life,I
2626,create preprepared response basic question day proper conversation stranger,I
2627,content basement,I
2628,hand shake tremendously stutter blush talk either little much speak opposite sex disgust talk like opposite gender convince like awkward thus ignore whenever see hope still talk act dumb time keep conversation topic someone minute bad text phone conversation,I
2629,know friend,I
2630,find way entertain computer besides watch tv show leave headphone downstairs roommate work two housemate would require polite socialize,I
2631,fill mirth thought expose others allege nonparody bloggingheads tv bloggingheads tv bloggingheads tv concept arrange marriage formal matchmaking new several population still use even modern western society thus likely recommend others particular lad want post somewhere nowhere else felt appropriate level non involvement want,I
2632,prefer company hang signifsant friend like social drunk sneak around house prefer stay online friend rather actually meet make pitty excuse social others dont understand simply dont want actually enjoy alone people thing hide something relate almost everything say earlier thread,I
2633,teacher actually come table ask okay go look apprehensive gosh embarrass happen,I
2634,dozen unread text friend chat feel incredibly stressful,I
2635,superevil say could also say know bout social anxiety sure know intravert someone sad one attempt bring shell wink sorry old post relate dude try get talk know instantly uncomfortable silence know somebody gon na break quite amused say want rude anything much social person girl beside say something friend go silent move new conversation something live etch happen leg guess kinda felt guilty seem cold didnt know felt like bad person didnt wan na talk everybody else seem like make friend bond question social anxiety unfortunately fail test im glad find site feel better ill engage people preliminary conversation next time instead get deep big topic readily,I
2636,avaray say best friend around talk instead join go somewhere else alone haha happen time,I
2637,magicat say kid neighborhood come hang brother hide room try avoid much possible party friendly gathering hang pet guest oh ha pet thing joy awkward gathering distant relative really know,I
2638,say anything unless something say also likely fill social meter forum blog two cent,I
2639,suppose attend birthday party friend husband forum,I
2640,friend decide end friendship dramatic break fashion horribleness situation one part insult oppose hurtful implication seem understand need alone,I
2641,know enjoy sick people leave alone,I
2642,know enjoy sound silence relax,I
2643,feel like fake surround people,I
2644,solrac say truth prefer stick one subject delve deeply would rather change subject every minute best extroverting excite new concept keep come worst unbearably annoy quickly lose interest nothing substance discus necessarily case confuse extroversion lack depth entp type definitely prefer depth discussion also allenfp flighty shallow actually deeply intelligent even preference communication style describe judge label annoy say excite,I
2645,initiate plan someone hang least day day say plan kind want anymore,I
2646,love alone time,I
2647,find talk yellin apologise inatemate object laugh,I
2648,celebok say move seattle soon learn seattle freeze like sound like paradise,I
2649,find change topic quickly annoy ah enfp em,I
2650,hear come pull iphone,I
2651,capable lie schedule get even though hate alone time,I
2652,room door shut majority time almost always sign say busy finally come family exclaim something like emerge brain,I
2653,discover entire unoccupied floor new workplace colleague look funny ask whether electricity little know already plan spend coffee break,I
2654,move new place really love beautiful peaceful quiet friend family keep ask see want enjoy,I
2655,pretend friend actually way friend try involve socializing minute pretend hang friend,I
2656,since introversion synonymous selfcentered shy antisocial call animal whisperer yet peep still think shy antisocial go anywhere animal attract choose owner even tv,I
2657,post count raise slowly never reach post even though try post lot sad,I
2658,biggest fear hear sound phone doorbell alarm clock blessing comparison merciless command communicate,I
2659,feel uncomfortable person feel uncomfortable silence room otherwise issue,I
2660,school pep assembly instead sneak counselor office avoid hate noise crowding enthusiasm,I
2661,make fake social event get real one,I
2662,rascal say funny mention get first iphone couple day ago block world wow since divorce smart phone phone get landline go extinct rascal say smart phone smart phone good emergency need get touch someone hardly ever talk phone mostly text surf web use social medium youtube video may actually talk phone average time per week less supposedly,I
2663,hide bathroom ten minute people say long emotional goodbye get job phonathon caller university panic every day go work avoid guy like complain never make move,I
2664,withdraw away eye alone thought alone enough withdraw inside thought feel alone satisfy withdraw inside thought inside thought feel alone still satisfied continue cycle recursively,I
2665,usually pretty outgo around people work enjoy write day get wrap thought one week talk good half day within three half hour ask eight time bother stellar mood always make point let people know miffed,I
2666,catch sleep concert twice get security guard follow around try leave concert part extracurricular activity real concert none less,I
2667,go way join new club learn group highly interesting even passionate drop week send sm g f use tapatalk,I
2668,everytime read book public place strategically leave book serial killer something equivalent deter people talk go week without speech without even need break schedule people always think plot something quiet,I
2669,choose stay home offer party invitation,I
2670,go friend birthday party know friend others busy loud socialize,I
2671,friend invite socialize find either decline negotiate state true everyone case,I
2672,bore mean brain work,I
2673,originally intend go one coffee shop end go another first one look crowded,I
2674,rowingineden say think feeler thing well maybe nf thing laugh get back lem deal door handle first,I
2675,splash shin say get piss none friend seem understand need time accept whether understand seriously understand need socialise respect go get hump instead people wonder im grumpy bastard get hold click expand totally get one bane existence strive hard understand people people understand side know one understand think either shy hate people prefer company,I
2676,glad find site know one gon na wan na get together,I
2677,remind enjoy small company come socialize also stay home day laptop ipad understand boredom also love stay comfort bed much,I
2678,pyroscope say get excited people consider healthy idea lock bedroom door excite actually case much time grow nifty combination lock set door,I
2679,alicekettle say say work get social engagement event even though procrastinate day really work yup wait start school work use excuse missinfj say sit car pull uninterrupted space avoid call talk spot yup son get rule intrude daddy mental space car great place hang cantseemtofind say enfp bestfriend always finish thought explain mean blurt something nonsensical tell people mind find word express top head yeah need one get use one break start date,I
2680,ginnyisdacoolest say family longer bat eyelid prolong socialising say gon na go antisocial bit term use people antisocial psychological disorder yeah get meaning crazy,I
2681,know give computer human name,I
2682,hate peaceful place someone interrupt contemplation prepares iconic quote maybe infj thing,I
2683,rere say write reply post disappear energy leave rewrite uh,I
2684,pyroscope say matter exhiliratingly awesome conversation someone still get tire feel disengage actually conversation random momentary sentence say conversation last around minute,I
2685,meeting make eye contact instructor ask answer rather sit pjs read book dress fun party go whole day without leave house say one word anyone perfectly ok,I
2686,know reason join facebook,I
2687,ugh always hat work well sorry run know intraverts long time ago agree completely comment,I
2688,socialite asocialite,I
2689,child mother want participate event kid get frighten cry encounter someone know street walk faster think hurry family dinner seem eternal two straight hour anything much leave house two week even care,I
2690,really appreciate friend understand need solitude confuse rejection still keep,I
2691,someone home find impossible anything stop anything know home irritates dearly,I
2692,organize chaos say popular people mistake kindness friendship know outcast want make anyone feel like happen yet time complicated person misunderstand everything married woman marriage issue single man want hurt say line cross thankfully also need make abundantly clear nothing go happen think first time glad poor overweight par attractiveness realm,I
2693,email texting posting thread even expect response seem like draw social energy missytea say happily stay invisible skype messenger give opportunity know friend family alive well sign without actually talk wow realize mellow,I
2694,general lee say happen th grade social study teacher tell mother would answer question class next day begin give lecture importance rome development christendom take entire period tell class christinitay save europe hold back include tell crusade fall constantinople next day teacher tell vocal class outside say yes inside laugh head ask something handle click expand nice char,I
2695,create profile site like merely post something else interact dog immediate family member live house,I
2696,continue post thread end complexity,I
2697,dance around actually leave bedroom door open housemate house wonder friend family pick clear lack interest say wonder possible one person talk thing long feeler annoy lack acknowledgement personal space everyone seem think like,I
2698,think might actually enjoy life monk middle age religious devotion time would get spend solitude absolutely hate professor randomly call class philosophy professor sit state constant anxiety throughout whole hour night class throw random well meghan think like know time even think yet choose college university base sole fact housing facility provide bathroom bedroom,I
2699,spend time bedroom alone family talk,I
2700,organize chaos say around group one start loud seek attention slowly inch away longer around lmao know constantly look creative excuse avoid go,I
2701,fail follow extravert,I
2702,around people like rest life scare x alone rest life,I
2703,whenever expect,I
2704,niamh chinn oir say know use phone roughly four month may may hide pile clothes book kitteh really know even phone crazy,I
2705,major breakdown say hehe sure really way phrase boisterous fine addition vocabulary collection imagine general grievous meme lazy dig good movie watch ditch next party interstellar watch yet ah well find like boisterous activity sit back enjoy watch chaotic scene unfold also try ditch party check interstellar time though although watch alone doubt family would want watch apocalyptic film together,I
2706,pretend understand english order avoid mundane conversation bus stop,I
2707,group people start daydream think head fun pay attention people around,I
2708,tanigi say via church view first comment picture webpage actually correct extreme marry give birth least one reinterpret caption think read friend think avoid sulk mom think avoid chore etc actually decompress day school work,I
2709,know hide table public avoid eye contact,I
2710,yeah computer time work coke beer relax leg put top desk minute usually stretch become hour heaven tongue,I
2711,get call hateful express dislike people around people tire,I
2712,realize last party go year ago,I
2713,general lee say happen th grade social study teacher tell mother would answer question class next day begin give lecture importance rome development christendom take entire period tell class christinitay save europe hold back include tell crusade fall constantinople next day teacher tell vocal class outside say yes inside laugh head ask something handle click expand beautiful applaud yeah always get complaint teacher one even say tend daydream still listen think answer question need second think take longer whole class sit silence look like never know answer least know yeah give chance talk ear hour grant topic interested never take silence nothing say,I
2714,eleven say saturday night big deal mean get stay room hour read lol never understand,I
2715,stay home entire month never feel lonely isolate consider grocery deliver,I
2716,make joke inside head laugh loud funny,I
2717,tell still hope child like disease give pep talk get motivation go social event others normally love,I
2718,know stop go favorite cafe fast food place acquaintance start work,I
2719,chit chat machine doomsday timer,I
2720,annie say panic attack phone call hate phone ring intrusion disturb annoy one want talk call,I
2721,get annoy wake text message instead glad,I
2722,see someone know store immediately change direction duck another aisle avoid talk,I
2723,know leave house first thought wait get home sleep,I
2724,think hang someone every weekend much really want stay read day,I
2725,wolfclaw say school bus full kid read hour take reach banff banff worth hour trip bus full kid jealous maybe jealous affect emotionally place want see yet feel emotion hear news make anything little happy someone go ok know analyze try fit social norm jealousy accomplish something want,I
2726,know someone say ohh great party saturday night head go million reason go also side note wonder seem typically get stage fright typically better thing like public speech always talk,I
2727,know believe introspection one underrated activity ever,I
2728,friday conversation like bos go lunch mexican place street bos go nobody bos oh sorry could come u okay read bos continue sympathy mentally facepalms seriously plan way fact look forward week,I
2729,alicekettle say idea physical affection people make uncomfortable understand people want cuddle hug kiss time feel awkward unless even one initiate two take awhile get point physical affection totally awkward,I
2730,mind much train plane delay mean extra quiet day dream time,I
2731,worst thing hospital someone come every two minute ask okay,I
2732,l p say actually like wear covid mask hide face lol yes,I
2733,ed gomez say sorry old post relate dude try get talk know instantly uncomfortable silence know somebody gon na break quite amused slowly get use break silence lol lot relaxing least still feel guilty try keep thing go little let others get comfortable far good ed gomez say say want rude anything much social person girl beside say something friend go silent move new conversation something live etch happen leg guess kinda felt guilty seem cold didnt know felt like bad person didnt wan na talk everybody else seem like make friend bond click expand exactly feel like cold antisocial really see much better tell want necessary try mbti least help clear part fee bad bout like social need one person kind annoy know go extraversion introversion aware type need people aware prioritize type need see something wrong ed gomez say question social anxiety unfortunately fail test im glad find site feel better ill engage people preliminary conversation next time instead get deep big topic readily fail test good least really help understand others make artificial social obligation seem important unfocused come say others random spontaneous idea good day praise social skill quite odd feeling bad day feel like complete social retard lol,I
2734,hide behind bookshelf keep talk keep see yes multiple occations,I
2735,wonder need alone unwind able go sleep,I
2736,pretend hear someone walk random store somebody try get attention public people tell get,I
2737,someone call three minute ago call back think answer greet answering machine freak leave tongue tie message leave beat realize different way could leave better one attend high school graduation tire idiot go school past four year escape gag fest await form three hour torture,I
2738,stay night finally one around bother sit class say word withdrawn even teacher pick answer relative come visit family actually ask social,I
2739,someone ask party respond say nope like get reading tonight meet shocked look hell would want spend saturday night read neighbor work place month shock tell neighbor awkward experience bring laptop case work without actual laptop throw table defend privacy break,I
2740,want take nap work chill,I
2741,know roommate go vacation look forward nice quiet house bug interrupt anything,I
2742,want delete post find way true post track google,I
2743,realise course whole summer holiday spend hour room,I
2744,find class sound really interesting fun almost sign think instead research learn hate class others,I
2745,napoleptic say condition yeah spine utterly f ed depression anxiety panic attack top together people get mad wan na talk time crazy corgigirl say one friend indepth conversation online despite see frequently enough think get think lot say something attention completely focus conversation type rather person kind distraction talk know intravert run possibility say next know youre intravert thread crazy,I
2746,unexpected guest bane existence,I
2747,let friend stay house month complain room much,I
2748,hope people notice decide talk know might exhaust exchange small talk even thought exhaust,I
2749,go significant large family party say hello everyone duck without anyone see leave everyone happy saw assume night forget cell phone car parking garage story comfy apartment need see people wait call text come google voice account laptop,I
2750,someone try get contact either ignore reply back five day later get little bit sour mood someone come,I
2751,change voicemail please leave message please either hang try send text little use say allergic phone many post phone,I
2752,hear flatmate lot actually see leave party exhaust get back room suddenly gain energy spend several hour read computer,I
2753,find completely empty train highlight day life,I
2754,autonomycrusader say dehydrate work avoid walk bathroom therefore interact anyone along way drink spend time alone bathroom cx,I
2755,fail important class college want go take subway go watch theatre exam base cost entire semester take course,I
2756,know prefer take walk weather bad one else outside,I
2757,party home solitude party rudely disrupt someone come home,I
2758,pyroscope say leave party exhaust get back room suddenly gain energy spend several hour read computer happen friday school dance celebration end school year calander year go tire despite dance get home enough energy read,I
2759,super quiet around group even one one conversation,I
2760,eylrid say right dang percentage though adjust put two many zero division include dead population,I
2761,live major western city age still full time education contact mobile phone,I
2762,discover relief put headphone make people stop talk,I
2763,avoid go hairdresser always seem want make conversation really want go church large ish social meeting become major trial go least partly feel need social interaction time half hour exhaust wait go home,I
2764,regret make plan school,I
2765,kayness say mind much outside park start pour mean everyone seek shelter leave alone enjoy solitude love rain,I
2766,run cigarette desperately want go buy neighbour sit chat garden building,I
2767,walk sidewalk someone start walk towards instead meet eye smile like normal person stare ground tree behind sign anything try go another direction come near enough address regardless actually waling towards intent speak know problem,I
2768,party nope,I
2769,kasthu say many post phone phone evil,I
2770,car someone know quite well silence last whole ride neither think say really small talk,I
2771,around group one start loud seek attention slowly inch away longer around,I
2772,dauntless say hailfire post day staycation last fall bday leave residence x short trip go high wall cubicle one wall seriously freak box block world supervisor take pity assign face street rather face main aisle click expand nice know one thing like think happen freak however would absolute hatred kind environmental change understanding talk even work need sense privacy fact work two holiday ago retail much preferred lease lining sale floor minus part get hit first one get flak customer listen rule regard sale although like sale floor mean watch superior coworkers often outside store lease line meant free,I
2773,sit entire time school dance let date go friend,I
2774,ride party want leave early one seem understand distress marry come big family whose unspoken mantra last people leave party gather laugh dry,I
2775,know would rather eat go store buy food,I
2776,szock wish could wear costume yes thank often wish ski mask negative burglar type connotation,I
2777,office building walk several pace behind someone slow win take elevator,I
2778,jonneh say tell say could also apply tell one point post,I
2779,fred dryer say wait another minute grab lunch eat alone front computer instead waste time cafeteria use go eat orchestra room middle school since class time always felt comfortable cafeteria,I
2780,cavarice say living household multiple people arrange sleep habit thing people either away asleep reason go sleep ridiculous hour xd well one else use morning think make feel want know nightclub like church lucifer,I
2781,phone call last minute consider long find annoy one long phone conversation min week even though purely informational,I
2782,organize chaos say able drive half hour trip work home absolute silence problem prefer night shift mean less people less socialize try hr drive love go road trip get listen whatever want loud want go speed want think much want stop whenever want talk anybody,I
2783,rain best sound world,I
2784,know physically walk small shop cashier watch non stop make feel like run life,I
2785,work yesterday half hour leave shift hit wall energy reserve felt completely drain want talk anyone want leave handle completely shallow interaction shift finally end hurry fast could,I
2786,miriamisfj say one always cup tea hand ask question give think time take sip croiky steal plan oh wait xd never mind,I
2787,rare urge dance intention go club discover buy xbox kinect game alone,I
2788,feel like alone,I
2789,costume party round bend see truck side road people may wannabe recluse problem,I
2790,computer best friend,I
2791,alexibaka say people hang website yes,I
2792,need spend long amount time hibernate feel normal socialize turn mobile time speak anyone,I
2793,someone tell give space privacy hover cross boundary etc feel like horrible person commit crime,I
2794,come work friday holiday happy people work peace quiet quieter cafeteria lunchtime,I
2795,feel extremely awkward tell bos teacher happen home mention want tell first place sometimes excuse sake,I
2796,annacy say teacher actually come table ask okay go look apprehensive gosh embarrass happen note always people worry keep much get wrong think nice people try draw others shell probably never would friend younger people take initiative approach sometimes enjoy want shell,I
2797,morn say prefer travel alone want people mess efficiency itinerary ditto,I
2798,hey man w intj bit caught eye intrigue work cutthroat kind way go kid logic intj tend tell plz,I
2799,alamour say extremely yet find feel lonely quite often really know infjs fit normal category care people want help time get wear group way often need companionship get overstimulated around others sometimes spend lot time room prevents go meet new people sometimes make feel lonely sometimes surround solitude much spend enough time people tricky try find right balance external internal world,I
2800,voice give two hour pub take pace,I
2801,feel unconfident post anything must dog best friend enjoy animal human human scary,I
2802,put headphone without even listen music people win talk,I
2803,text friend pop notification smart enough click say read check instead spend entire day wonder go respond eventually realize couple day later never feel like asshole losing sleep either,I
2804,mr nickster say first day school go bathroom technically one away waste star wall empty stall get away time,I
2805,home alone someone ring doorbell phone ring heart sink,I
2806,relate,I
2807,anyone tell hardly ever get chance talk even though live house,I
2808,know people find silence awkward friend tell,I
2809,scarletlilies say get super freak personalitycafe decide email notifcation someone comment post person randomly happen best friend real world small world small world mean e mail post subscribe right aka post comment come know go happen sooner later perc good mtbi obsess people deny,I
2810,people main observation quiet sillier yet walk break room say quiet see yes people actually say ahem,I
2811,really really angry someone tell seem far complicate somehow,I
2812,inside freeze stomach knot site coworker standing bus stop walk immediately look way pretend notice hope notice say hi awkward hi convo minute think anything say nothing importance end say take minute recover form stress happen reassure horrible person avoid even dislike first place,I
2813,bahahaha true see former acquaintance grocery store actually walk isle linger longer rather force meaningless chit chat work weather construction around grocery store brutal endure politeness find grocery store go along chit chat smile socially appropriate avoid without hurt someone feeling mean really enjoy chit chat mean actually truly enjoy,I
2814,tell one emo friend like people even look oddly,I
2815,organize chaos say consider transfer become overnight stock person fact make money big perk fact require next zero public interaction give current job cashier much appreciate fact yippee post work couple month toy department wal mart holiday season definitely relate,I
2816,know answer cell phone right away,I
2817,hate world,I
2818,grocery shopping wal mart monday night,I
2819,alicekettle say spend several hour day alone room without feel bore room second minute people start feel annoy bore tire still recover less hour little brother house girlfriend less welcoming even tho say want around feel welcome bring house far pretty much worst esfp ever meet usually like visit next day sleep lot try recover attachment uploadfromtaptalk jpg kb view,I
2820,think spend day without say anything gon na try tomorrow,I
2821,take longer route get class far less people use never step college din hall exception orientation simply amount people present eat food sneakily college library inside semi shield cubicle look forward winter bury jacket without worry people look,I
2822,ask friend order pizza want talk someone know turn phone fear ring walk opposite side street avoid say hi person walk towards walk back side street say person pas,I
2823,regret decision go overcrowd party second actually agree even moment arrive party moment reluctantly say yea sure tire school work deal people around never shut least feel like,I
2824,think lockdown absolutely horrible society feel like relief,I
2825,people sense quietness mile away even think particularly quiet actually make effort talk normally would,I
2826,consider possibility social life even get involve life outside apartment normal way consciously refute idea seem pointless instead contentedly stay home alone think subjective like dislike feeling belief value fi si woot woot,I
2827,spend lunch school surround people eat talk school one ever ask hang perfectly okay,I
2828,wjs say office building walk several pace behind someone slow win take elevator speed always rush past people,I
2829,people get upset think bored uninterested would rather spend time elsewhere really energy socially attentive night long find start zone lot get point help yet stay conversation time shit rough,I
2830,think take work still exhaust hang friend previous night ready throw towel hour last night,I
2831,twistedm say well damn doom even total intj know much sociable headdesk wow sociable anti social time basically happy alone people find nice,I
2832,want talk,I
2833,good push people away time socially exhaust may benefit company even want relieve statement comfort enough therr also timea protect relationship much become deal breaker yeah realize entirely introversion wonder many would relate tho,I
2834,lurk forum long time decide make account post groan group project would rather work people try talk would rather read book walk home freezing cold eat lunch cafeteria,I
2835,wait weekend come spend time alone whatever want friend suddenly suggest go friday night die little inside,I
2836,eylrid say think much certainly apply know thank post realise post day old decide less awkward thank old post thank un thank old post,I
2837,try figure tell roommate without rude hurt anyone feeling door shut appreciate knock something important try figure tell roommate without rude hurt anyone feeling try avoid think despite fact roommate interesting people talk year wait move worried rude hurt anyone feeling get enough alone time frustrate solitude feel like best friend almost like soul mate need human interaction internet,I
2838,know weekend rarely involve get pyjama,I
2839,relative esxj pay unexpected visit mentally ready leave room even greet relative pay visit know say talk dog instead,I
2840,represent online forum,I
2841,agree better public speech one chemistry class require presentation work project group three also least nervous two worried scar forget something perfectly maybe p part personality find presentation rather easy time even fun,I
2842,like thank veteran service know win go outside go outside shy say let alone approach vet,I
2843,eylrid say middle crowd stranger like island sea feel personal connection stranger crowd delicious feeling often study cafeteria noise cancel headphone reason,I
2844,appointment schedule plan turn extended event fact anxiety anticipation cause creep closer example somewhere pm need hour beforehand get ready travel location pm start migrate back mind pm begin mental preparation,I
2845,give extended social time take nap instead ask store clerk help give minor trauma win jog neighborhood would mortify actually run someone know wish upon star try invent sort invisibility device,I
2846,listen voicemail require much interaction,I
2847,wink make last year,I
2848,get annoy someone try talk nothing,I
2849,headphone bestfriend,I
2850,live rock shy guy game call mario,I
2851,pseudosenator say echo lirulin say first page silent time even notice refuse open door hear knock go phone refusal answer know alone haha definitely share flat atm since university accommodation almost never answer intercom doorbell noise help know friend drop say see age take surprise least week,I
2852,truth love much get enough time sit quiet room soon emotionally exhaust melt chew face,I
2853,prefer listen five time like speak people forget social gathering spoken anything last minute find design carpet fascinating conversation people around think reflect come second nature understand anyone would trouble however suck basic thing like small talk contribute conversation minute continuously feel need alone next half hour,I
2854,unicorntopia say eating disgust nature first kill something whether plant animal mix bodily fluid mash esentially destrying another life live disease u destroy u live plant animal disease u disease disgust disgust disgust entire cycle life lace disgust completely disgust go kill deal anymore go embrase disgusting focus disgusting side suppose click expand alter genetics photosynthesize even though would still eat rotted waste get certain nutrient,I
2855,escape route hide place people ring doorbell,I
2856,bunker man say take picture remember fog day happen loneliness never felt good try resist make persona reference look like much fun,I
2857,miriamisfj say know forget name second havent hear long know one sit listen teacher everyone else around chat away second one correct first one happen every year enter middle school every summer would hear name maybe three time week time go back school although remember say barely could spell fifth week school,I
2858,disco ball dance music come soon whole family leaf,I
2859,find excuse possible get go spend day brother house loud wild kid adore niece nephew expect sit around hour visit,I
2860,morning refuse leave room even pee real bad roommate girlfriend leave work avoid good morning small talk expense sometimes run late work,I
2861,saturday night big deal people make,I
2862,mother hand phone take survey discover actual human end controlled annoyance hang extreme fury,I
2863,count number word say loud day,I
2864,rascal say hate phone ring intrusion disturb annoy one want talk call nice thing smartphones screen call,I
2865,walk route twice long avoid people,I
2866,spend whole day thing go bed relaxed associate others,I
2867,thinkist say look post count keirsey temperament forum least twice many post curious complaint thread,I
2868,feel comfortable library bar closest friend,I
2869,know ton post party believe one different know somebody throw surprise party would make burst tear happy tear,I
2870,begrudgingly go party regret decision minute,I
2871,others say include dead population hahahahhaa intp,I
2872,fly room louder,I
2873,think solitary confinement reward punishment,I
2874,even long skype conversation answer many message perc drain energy need time alone recharge even though make happy,I
2875,know manage joke around conversation person behind line buy grocery start feel really awkward anxious pay quickly possible leave without say goodbye know else say,I
2876,think,I
2877,random ness say pick phone someone call three time hehe yeah see somebody call think win answer person really need call yep worst person call emergency luckily everyone know xd,I
2878,party even though inhibition immensely lower lot ahem alternative substance still way happier corner stroke cat talk anyone,I
2879,cavarice say find interested associate someone even though relate get along person really well yup seem like much effort seek late night shift retail customer service job least partly due reduction social pressure work cant imagine even job retail co dont like people talk customer would make silly small talk work living household multiple people arrange sleep habit thing people either away asleep click expand beat seek housemate work away month time home visit mate finish work alone time xtoxicx say really want lock door really sound like kill people room one know much rather talk online someone live far away go party yup plan thing could alone free time saturday friend call hang feel force say yes even though want alone time eh completely hour quiet reflexion public place realize person around alone click expand tucken say well familiar mind need lot time talk cverbalize yup dont talk straight cuff go party end beer corner sofa think purpose get seek time alone make abundance stimulus interaction suck energy dry day internet best friend certainly useful feel tired day much relaxed morning even night time never sleep night yet want work question people bare everyday tell everyone everything happen hour apart click expand oh dont understand business isi say spend three day inside house without go speak anyone without think slightest bit odd thirtiesgirl say know much rather spend day thing rather try coordinate bunch people icky people wink maybe anti social heh seeker say know spend time fully form response discussion head never end say aloud though enjoy shop dont mind people long dont talk im oppose hi ask look anything particular response always look moment even look something difficulty find,I
2880,prefer chat virtual stranger perc real life friend,I
2881,use skype account text feature claim illness whenever someone suggest hey maybe actually talk thank,I
2882,unhealthy make thread daily experience avoid social contact ask people post convince like everyone else poster become contradiction,I
2883,anyone want know think evolutionarily better equip tongue,I
2884,happy work alone piece office question like get bore work alone constantly irritate,I
2885,darner say think party roomates leave definition party enjoy immense solitude leave behind aha roomate leave vacation completely alone week read nearly moan aloud desire thought roommate ever leave sad,I
2886,go bathroom party feel recharge finally hear thought,I
2887,alone home still feel better even though feel lonely,I
2888,silk say yes know yoou wish never set voicemail never listen message pile voicemail mobile yup even people tell get message bounce back result check voicemail,I
2889,lot thing even introvertive ruination cause self conscious avoidant ot rather listen music socialize people public keep talk headphone hear,I
2890,actually like around people sometimes,I
2891,lonliness forein concept solitude time,I
2892,know even hermit live cave think rather quiet reserve anxious upcoming holiday like thanksgiving christmas family get togethers wait someone ask feel think pause bit really process question answer answer question long ask person ask question something completely different,I
2893,quite possibly since end drained lol,I
2894,day go realize socializing,I
2895,mnemonicfx say want people stop small talk get point conversation activity man get call highly friend hey good get annoyed eat eat beg want sad sound pissed case small talk phone wish would walkie talkie basic exchange information unnecessary additional ice breaking question,I
2896,go movie alone prefer way,I
2897,laugh loud make weird noise something like make happy exit people social anxiety really extovert,I
2898,even though fun friend would consider short amount time think okay great kinda emotionally exhaust get ta get home want friend know still like wan na make effort actually something need alone time,I
2899,use argument friend really e try explain hang long period time,I
2900,love silence deep snow,I
2901,know read book listen ipod bus main purpose avoid talk person sit next,I
2902,prefer company cat anyone anything else,I
2903,find excuse get house many people someone ask want company get defensive say something character work everyone look make thing even awkward,I
2904,know sister sits next read thread annoy mind share thought anonymously online want people know read post online,I
2905,wont apply everyone find nothing ever specific indepth enough thing always general niche interest could talk someone ear plan shop trip base efficient way avoid interrupt people know people hand thing attempt try sell thing ignore eventually people even attempt sell thing fact skip even look speed go past tend hate go local shopping center opt go shopping elsewhere somewhere busy wish run someone knew year ago one family member brother sister twice remove nothing really talk wish pretend busy sick etc excuse go even line interaction energy suck element frequently enjoy go movie walk shop etc annoy people converse try learn something watch something read pretend phone listen music read social sitting like sit desk wait class start one interrupt also thing enjoyment find conversation unfulfilling otherwise akward get hard really absorb read take lot people around find zone read sentence several time like mind always busy something think random people know try engage keep answer brief hope conversation die mind converse people long listening think one think somewhat abnormal someone tell go people ask go type instant messaging device rather log automatically every time online go period talk friend ally etc long comfortable observe rather participate find odd people would talk people conversation find assignment word count problem fact often end go word limit rather time become trap head,I
2906,think long listen would much accurate long read maybe reader thing cat abnormal,I
2907,make plan friend colleague seem like great idea time day come think great time cancel stay home friend invite work explain possible cause less die social exhaustion go course get say well think opinion even know conversation topic change cause proud let go unheard turn mathematician calculate many hour solitude week full plan friend want invite others something mean know give reason cancel,I
2908,work yesterday half hour leave shift hit wall energy reserve felt completely drain want talk anyone want leave handle completely shallow interaction shift finally end hurry fast could,I
2909,talk often except close friend family,I
2910,family refers room cave make huge deal come purpose eat go bathroom,I
2911,napoleptic say go j p come social interaction holy shit really guess explain seem p j know intravert day choose stay rather go anywhere,I
2912,ipod battery dy leave earbuds discourage people talk totally gym morning,I
2913,sometimes,I
2914,relate post tumblr hang tomorrow busy nothing alone sorry,I
2915,make someone else talk hate talk stranger anyone outside circle plus never know say,I
2916,understand could possibly annoy someone quiet,I
2917,kilgore trout say may handle problem mostly instead bother everyone know guess feeler thing guilty big time may leave living quarter first time eye ache sun want go back,I
2918,youre nightclub girl ask youre dance group prefer online messaging oppose leave house meet social gathering,I
2919,cutedeadgal say offend extraverted people say might mistake introvertedness shyness people think extraverted talk people fine notice exhaust hour make excuse go home long mbti forum need clear introversion social anxiety scar around people shyness comfortable around new people introversion social activity drain person energy extraversion gain energy social activity always hang others agree chatty general mean,I
2920,rdaneel say dog smile dog absolutely pick phone act like someone call,I
2921,rather ask borrow pen stranger search frantically around hop find one lie around instead,I
